,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,75,AR,10/22/2019,79,-54.81,-68.31,57.2,13.87
1,Naze,75,NG,10/22/2019,94,5.43,7.07,78.8,5.23
2,Marsaxlokk,20,MT,10/22/2019,73,35.84,14.54,71.6,11.41
3,Camocim,29,BR,10/22/2019,54,-2.9,-40.84,86.54,13.87
4,Mataura,68,NZ,10/22/2019,80,-46.19,168.86,43,7
5,Kloulklubed,40,PW,10/22/2019,88,7.04,134.26,77,3.31
6,Srednekolymsk,99,RU,10/22/2019,84,67.46,153.71,5.95,3.62
7,Codrington,0,AU,10/22/2019,93,-28.95,153.24,57.99,2.24
8,Lompoc,1,US,10/22/2019,35,34.64,-120.46,87.01,5.82
9,Avarua,13,CK,10/22/2019,100,-21.21,-159.78,71.6,1.12
10,Waterloo,77,SL,10/22/2019,80,8.34,-13.07,80.4,5.44
11,Nantucket,90,US,10/22/2019,63,41.28,-70.1,64.4,8.05
12,San Juan,39,AR,10/22/2019,22,-31.54,-68.53,73.69,13.44
13,Rawson,100,AR,10/22/2019,80,-43.3,-65.11,48.45,21.61
14,Tolaga Bay,60,NZ,10/22/2019,59,-38.37,178.3,54.7,27.83
15,Atuona,0,PF,10/22/2019,72,-9.8,-139.03,78.85,12.24
16,Busselton,6,AU,10/22/2019,68,-33.64,115.35,55,9.8
17,Guerande,15,FR,10/22/2019,93,48.47,-4.17,53.6,5.82
18,Goranboy,40,AZ,10/22/2019,72,40.61,46.79,59,6.93
19,Kapaa,40,US,10/22/2019,83,22.08,-159.32,78.8,14.99
20,Methoni,0,GR,10/22/2019,49,36.82,21.7,69.8,7.61
21,Alta Floresta,75,BR,10/22/2019,70,-9.87,-56.08,84.2,6.93
22,Punta Arenas,75,CL,10/22/2019,55,-53.16,-70.91,53.6,27.51
23,Rikitea,100,PF,10/22/2019,83,-23.12,-134.97,69.89,20.49
24,Hithadhoo,100,MV,10/22/2019,79,-0.6,73.08,81.7,12.17
25,Ternitz,40,AT,10/22/2019,87,47.71,16.02,60.8,1.12
26,Alto Araguaia,89,BR,10/22/2019,58,-17.32,-53.22,81.43,7.07
27,Tuktoyaktuk,90,CA,10/22/2019,92,69.44,-133.03,19.4,8.05
28,Boshnyakovo,1,RU,10/22/2019,74,49.65,142.17,48.76,10.94
29,Jamestown,1,AU,10/22/2019,30,-33.21,138.6,60.31,7.25
30,Kamenka,35,MD,10/22/2019,93,48.03,28.7,53.01,4.18
31,Kibre Mengist,8,ET,10/22/2019,93,5.87,38.99,57.83,1.41
32,Torbay,90,CA,10/22/2019,81,47.66,-52.73,45,16.11
33,Talnakh,100,RU,10/22/2019,78,69.49,88.39,15.8,24.61
34,Tasiilaq,20,GL,10/22/2019,68,65.61,-37.64,26.6,1.12
35,Akureyri,75,IS,10/22/2019,86,65.68,-18.09,30.2,9.17
36,Prainha,97,BR,10/22/2019,43,-1.8,-53.48,93.65,2.64
37,Saldanha,41,PT,10/22/2019,58,41.42,-6.55,51.53,5.91
38,East London,20,ZA,10/22/2019,72,-33.02,27.91,59,13.87
39,Vaini,98,IN,10/22/2019,98,15.34,74.49,68.49,3.15
40,Faanui,1,PF,10/22/2019,72,-16.48,-151.75,79.66,5.08
41,Warwick,90,US,10/22/2019,77,41.7,-71.42,61,10.29
42,Sorong,99,ID,10/22/2019,98,-0.86,131.25,72.32,1.39
43,Touros,40,BR,10/22/2019,55,-5.2,-35.46,86,16.11
44,Pacific Grove,1,US,10/22/2019,45,36.62,-121.92,73.99,12.75
45,Barra do Garcas,75,BR,10/22/2019,43,-15.89,-52.26,91.4,13.87
46,Dikson,100,RU,10/22/2019,87,73.51,80.55,17.92,24.23
47,Palmer,0,AU,10/22/2019,58,-34.85,139.16,70,7.54
48,Airai,40,TL,10/22/2019,42,-8.93,125.41,64.31,5.12
49,Aklavik,90,CA,10/22/2019,92,68.22,-135.01,19.4,3.36
50,Albany,90,US,10/22/2019,62,42.65,-73.75,60.01,8.05
51,Warrington,40,GB,10/22/2019,81,53.39,-2.59,54,6.93
52,Muzhi,68,RU,10/22/2019,77,65.4,64.7,24.04,17.78
53,Bredasdorp,53,ZA,10/22/2019,62,-34.53,20.04,61,9.17
54,Constitucion,20,MX,10/22/2019,56,23.99,-104.67,72,2.24
55,Nouadhibou,0,MR,10/22/2019,53,20.93,-17.03,73.4,19.46
56,Kulunda,69,RU,10/22/2019,74,52.57,78.94,27.7,12.62
57,Kavieng,94,PG,10/22/2019,83,-2.57,150.8,81.01,16.8
58,Ola,75,RU,10/22/2019,71,59.58,151.3,27.95,17.05
59,Longyearbyen,75,NO,10/22/2019,72,78.22,15.63,12.2,9.17
60,Oranjemund,0,ZA,10/22/2019,83,-28.55,16.43,57.31,9.04
61,Hambantota,100,LK,10/22/2019,83,6.12,81.12,80.11,15.59
62,Kiruna,99,SE,10/22/2019,84,67.86,20.23,37.4,9.17
63,San Quintin,37,PH,10/22/2019,92,17.54,120.52,71.96,3.38
64,San Cristobal,99,HN,10/22/2019,61,14.68,-86.92,79.05,3.98
65,Kahului,1,US,10/22/2019,73,20.89,-156.47,78.8,10.29
66,Hilo,90,US,10/22/2019,78,19.71,-155.08,77,5.14
67,Port Elizabeth,90,US,10/22/2019,93,39.31,-74.98,66.99,8.05
68,College,75,US,10/22/2019,74,64.86,-147.8,28.4,2.24
69,Omboue,100,GA,10/22/2019,88,-1.57,9.26,76.62,3.2
70,Saskylakh,3,RU,10/22/2019,91,71.97,114.09,7.57,9.28
71,Qaanaaq,71,GL,10/22/2019,43,77.48,-69.36,9.32,9.53
72,Pevek,100,RU,10/22/2019,87,69.7,170.27,20.61,3.15
73,Luderitz,0,NA,10/22/2019,72,-26.65,15.16,60.8,19.46
74,Columbus,1,US,10/22/2019,41,32.46,-84.99,75.2,14.99
75,Pisco,90,PE,10/22/2019,30,-13.71,-76.2,71.6,6.93
76,Tautira,0,PF,10/22/2019,74,-17.73,-149.15,80.01,4
77,Jishu,0,CN,10/22/2019,78,44.29,126.79,46.65,3.67
78,Dawei,0,MM,10/22/2019,77,14.07,98.19,82.49,6.08
79,Puerto Escondido,20,MX,10/22/2019,74,15.86,-97.07,82.4,5.82
80,Hobart,98,AU,10/22/2019,66,-42.88,147.33,55.4,9.17
81,Chuy,0,UY,10/22/2019,61,-33.69,-53.46,67.87,9.19
82,Troitsko-Pechorsk,62,RU,10/22/2019,86,62.71,56.19,25.2,4.59
83,Barrow,100,AR,10/22/2019,73,-38.31,-60.23,51.8,18.59
84,Fortuna,20,US,10/22/2019,93,40.6,-124.16,61,4.7
85,Turayf,75,SA,10/22/2019,82,31.68,38.65,64.4,17.22
86,Hosdurga,100,IN,10/22/2019,89,13.8,76.29,70.99,10.04
87,Billings,90,US,10/22/2019,56,45.79,-108.5,44.6,16.11
88,Waipawa,80,NZ,10/22/2019,92,-39.94,176.59,43,4
89,New Norfolk,98,AU,10/22/2019,66,-42.78,147.06,55.4,9.17
90,Lebu,38,ET,10/22/2019,75,8.96,38.73,52.02,5.21
91,Bluff,0,AU,10/22/2019,80,-23.58,149.07,62.47,10.83
92,Tobol,75,SE,10/22/2019,76,59.83,12.54,50,14.99
93,Ribeira Grande,75,PT,10/22/2019,73,38.52,-28.7,69.8,11.41
94,Toktogul,1,KG,10/22/2019,60,41.87,72.95,35.71,2.66
95,Kaka,1,TM,10/22/2019,39,37.35,59.62,57.61,4.05
96,Khatanga,78,RU,10/22/2019,92,71.98,102.47,9.46,9.24
97,Saint-Philippe,75,CA,10/22/2019,55,45.36,-73.48,64.4,13.87
98,Yellowknife,75,CA,10/22/2019,90,62.45,-114.38,32,4.7
99,Hermanus,45,ZA,10/22/2019,69,-34.42,19.24,62.01,4
100,Paamiut,2,GL,10/22/2019,72,61.99,-49.67,37.49,3.4
101,Alofi,12,NU,10/22/2019,100,-19.06,-169.92,71.6,4.7
102,Cap Malheureux,40,MU,10/22/2019,83,-19.98,57.61,75.2,2.24
103,Surt,0,LY,10/22/2019,66,31.21,16.59,70.74,10.98
104,Lodwar,42,KE,10/22/2019,41,3.12,35.6,87.35,17.09
105,Victoria,75,BN,10/22/2019,94,5.28,115.24,80.6,3.36
106,Arman,98,RU,10/22/2019,63,59.7,150.17,33.4,17.52
107,Verkhnyaya Inta,99,RU,10/22/2019,94,65.99,60.32,19.81,14.32
108,Leninskoye,94,RU,10/22/2019,63,54.82,82.85,30.2,11.18
109,Hirara,0,JP,10/22/2019,71,24.8,125.28,77.32,3.2
110,Kieta,88,PG,10/22/2019,74,-6.22,155.63,80.76,7.61
111,Santa Quiteria,40,ES,10/22/2019,87,37.67,-1.69,57,1.12
112,Wadi Maliz,40,TN,10/22/2019,42,36.47,8.55,84.2,8.05
113,Mahebourg,40,MU,10/22/2019,83,-20.41,57.7,75.2,2.24
114,Cape Town,20,ZA,10/22/2019,72,-33.93,18.42,63,18.34
115,Luwuk,19,ID,10/22/2019,75,-0.95,122.79,80.22,14.56
116,Sciacca,100,IT,10/22/2019,88,37.51,13.08,71.6,9.17
117,Hudiksvall,65,SE,10/22/2019,83,61.73,17.1,46,5.99
118,Mitu,61,IR,10/22/2019,86,36.2,46.09,49.01,6.73
119,Ko Samui,85,TH,10/22/2019,70,9.54,99.94,84.42,6.62
120,Tuatapere,75,NZ,10/22/2019,80,-46.13,167.69,43,7
121,Amapa,75,HN,10/22/2019,62,15.09,-87.97,89.01,3.38
122,Margate,98,AU,10/22/2019,66,-43.03,147.26,55.4,9.17
123,Puerto Ayora,75,EC,10/22/2019,61,-0.74,-90.35,78.8,14.99
124,Vila Velha,20,BR,10/22/2019,55,-3.71,-38.6,87.8,13.87
125,Armilla,75,ES,10/22/2019,76,37.14,-3.63,63,12.75
126,Road Town,40,VG,10/22/2019,78,18.42,-64.62,84,3.36
127,Carnarvon,68,ZA,10/22/2019,15,-30.97,22.13,67.17,22.12
128,Praia da Vitoria,20,PT,10/22/2019,68,38.73,-27.07,71.6,12.77
129,Craig,90,US,10/22/2019,69,40.52,-107.55,39.2,2.19
130,Kongolo,68,CD,10/22/2019,93,-5.39,27,71.37,0.65
131,Sturgis,0,CA,10/22/2019,54,51.94,-102.54,36.61,8.93
132,Norman Wells,90,CA,10/22/2019,100,65.28,-126.83,23,1.7
133,Broome,75,GB,10/22/2019,81,52.47,1.45,52,2.24
134,Nanortalik,100,GL,10/22/2019,99,60.14,-45.24,32.77,6.04
135,Tateyama,53,JP,10/22/2019,85,36.66,137.31,63,1.03
136,Mogadishu,33,SO,10/22/2019,83,2.04,45.34,81.46,14.38
137,Nara,58,JP,10/22/2019,77,34.68,135.8,66.2,10.29
138,Severo-Kurilsk,89,RU,10/22/2019,97,50.68,156.12,39.72,8.46
139,Nikolskoye,90,RU,10/22/2019,87,59.7,30.79,52,11.18
140,Ostrovnoy,100,RU,10/22/2019,94,68.05,39.51,29.52,11.16
141,Saint Lawrence,20,MT,10/22/2019,73,36.06,14.2,71.6,11.41
142,Saint George,0,GR,10/22/2019,67,39.45,22.34,66.2,5.82
143,Beringovskiy,46,RU,10/22/2019,88,63.05,179.32,25.02,26.26
144,Provideniya,97,RU,10/22/2019,95,64.42,-173.23,24.08,8.68
145,Alyangula,8,AU,10/22/2019,94,-13.85,136.42,68,6.22
146,Faya,3,SA,10/22/2019,82,18.39,42.45,66.2,8.05
147,Maniwaki,100,CA,10/22/2019,92,46.38,-75.98,49.46,13.09
148,Camacha,40,PT,10/22/2019,60,33.08,-16.33,69.8,13.87
149,Tiznit,44,MA,10/22/2019,80,29.7,-9.73,53.78,20.56
150,Muscat,0,OM,10/22/2019,78,23.6,58.55,82.4,2.24
151,Sao Sebastiao,20,BR,10/22/2019,66,-3.15,-58.36,89.6,5.82
152,Bilma,0,NE,10/22/2019,13,18.69,12.92,87.46,12.28
153,Arraial do Cabo,75,BR,10/22/2019,69,-22.97,-42.02,77,5.82
154,Biak,19,ID,10/22/2019,75,-0.91,122.88,80.22,14.56
155,Kununurra,35,AU,10/22/2019,64,-15.77,128.74,73.4,9.17
156,Bathsheba,40,BB,10/22/2019,58,13.22,-59.52,87.8,13.87
157,Ust-Maya,34,RU,10/22/2019,95,60.42,134.54,15.12,3.31
158,Arshan,11,YE,10/22/2019,52,14.32,46.95,70.23,7.31
159,Upernavik,100,GL,10/22/2019,51,72.79,-56.15,17.82,7.14
160,Castro,75,CL,10/22/2019,62,-42.48,-73.76,53.6,14.99
161,Bambous Virieux,40,MU,10/22/2019,83,-20.34,57.76,75.2,2.24
162,Fairbanks,75,US,10/22/2019,74,64.84,-147.72,28.4,2.24
163,Thompson,75,CA,10/22/2019,64,55.74,-97.86,33.8,12.75
164,Adelaide,0,AU,10/22/2019,58,-34.93,138.6,70,7.43
165,Butaritari,88,KI,10/22/2019,76,3.07,172.79,83.7,14.92
166,Nabire,100,ID,10/22/2019,95,-3.36,135.5,72.27,1.48
167,Mehamn,75,NO,10/22/2019,80,71.03,27.85,33.8,11.41
168,Cidreira,42,BR,10/22/2019,76,-30.17,-50.22,64.81,15.86
169,Zrenjanin,15,RS,10/22/2019,67,45.38,20.39,71.6,3.36
170,Dailly,20,BE,10/22/2019,87,50.06,4.44,54,3.36
171,Matay,39,EG,10/22/2019,57,28.42,30.79,73.85,18.19
172,Taoudenni,7,ML,10/22/2019,16,22.68,-3.98,96.17,16.98
173,Kita,20,JP,10/22/2019,82,35.76,139.74,61,5.82
174,Launceston,24,AU,10/22/2019,93,-41.43,147.14,42.8,4.7
175,Dicabisagan,44,PH,10/22/2019,86,17.08,122.42,75.61,4.27
176,Bontang,0,ID,10/22/2019,77,0.12,117.47,80.06,3.78
177,Salalah,7,OM,10/22/2019,45,17.01,54.1,86,3.36
178,Semirom,36,IR,10/22/2019,83,31.41,51.57,39.6,2.13
179,Ixtapa,75,MX,10/22/2019,74,20.71,-105.21,82.99,4.32
180,Lorengau,95,PG,10/22/2019,73,-2.02,147.27,83.86,7.63
181,Betare Oya,91,CM,10/22/2019,89,5.6,14.08,71.15,2.66
182,Upata,0,VE,10/22/2019,52,8.02,-62.41,91,1.01
183,Chara,0,GR,10/22/2019,67,39.42,22.43,66.2,5.82
184,Cherdyn,98,RU,10/22/2019,86,60.4,56.48,27.05,5.68
185,Samarai,90,PG,10/22/2019,92,-10.62,150.67,74.12,5.84
186,Chokurdakh,88,RU,10/22/2019,93,70.62,147.9,5.77,7.96
187,Hasaki,75,JP,10/22/2019,87,35.73,140.83,59,11.41
188,Moth,99,IN,10/22/2019,30,25.73,78.95,78.35,5.03
189,Vostok,0,RU,10/22/2019,51,46.45,135.83,34.7,3.53
190,Mora,6,PT,10/22/2019,62,38.94,-8.17,64.99,3.74
191,Ponta do Sol,61,BR,10/22/2019,48,-20.63,-46,82.4,10.18
192,Nyaunglebin,2,MM,10/22/2019,89,17.95,96.73,74.61,0.47
193,Mazyr,81,BY,10/22/2019,81,52.05,29.27,56.46,3.42
194,Esperance,1,AU,10/22/2019,93,-33.86,121.89,53.6,9.17
195,Georgetown,75,GY,10/22/2019,74,6.8,-58.16,86,6.93
196,Genhe,58,CN,10/22/2019,84,50.78,121.52,20.14,0.2
197,Sitka,0,US,10/22/2019,30,37.17,-99.65,62.01,10
198,Grand Gaube,40,MU,10/22/2019,83,-20.01,57.66,75.2,2.24
199,Tezu,71,IN,10/22/2019,71,27.93,96.16,65.62,3.98
200,Helena,75,US,10/22/2019,57,46.59,-112.04,51.8,20.8
201,Businga,54,CD,10/22/2019,95,3.34,20.89,72.61,2.33
202,Anadyr,75,RU,10/22/2019,85,64.73,177.51,14,4.47
203,Samana,40,EC,10/22/2019,66,0.12,-76.97,87.8,4.7
204,Seoul,1,KR,10/22/2019,93,37.57,126.98,59,3.36
205,Valpacos,32,PT,10/22/2019,64,41.61,-7.31,49.06,5.23
206,Predivinsk,98,RU,10/22/2019,70,57.07,93.44,24.66,6.42
207,Obidos,20,PT,10/22/2019,67,39.36,-9.16,64.4,13.87
208,Nome,1,US,10/22/2019,26,30.04,-94.42,78.8,8.05
209,Riyadh,0,SA,10/22/2019,24,24.63,46.72,82.4,2.24
210,Karratha,22,AU,10/22/2019,58,-20.74,116.85,81.61,13.65
211,Port Alfred,91,ZA,10/22/2019,73,-33.59,26.89,62.01,8.99
212,Kaitangata,70,NZ,10/22/2019,67,-46.28,169.85,45.68,26.35
213,Evensk,0,RU,10/22/2019,60,61.92,159.24,11.26,9.53
214,Moundsville,90,US,10/22/2019,93,39.92,-80.74,57.99,9.17
215,Dniprorudne,100,UA,10/22/2019,100,47.39,35,48.2,6.71
216,Cassilandia,98,BR,10/22/2019,57,-19.11,-51.73,82.85,7.02
217,Tartagal,0,AR,10/22/2019,42,-22.52,-63.8,84.2,8.03
218,Lavrentiya,100,RU,10/22/2019,81,65.58,-170.99,31.08,14.61
219,Kovdor,99,RU,10/22/2019,98,67.56,30.47,33.66,8.79
220,Never,70,RU,10/22/2019,87,53.98,124.16,24.71,2.37
221,Verkhnevilyuysk,89,RU,10/22/2019,86,63.45,120.31,19.35,4.88
222,Shaygino,98,RU,10/22/2019,85,57.77,46.86,35.33,5.19
223,Dubbo,0,AU,10/22/2019,64,-32.25,148.6,62.6,10.29
224,Qaqortoq,75,GL,10/22/2019,64,60.72,-46.03,37.4,16.49
225,Ukiah,1,US,10/22/2019,51,39.15,-123.21,73.99,3.11
226,Kodiak,1,US,10/22/2019,34,39.95,-94.76,55,20.8
227,Tortoli,40,IT,10/22/2019,88,39.93,9.66,69.8,4.7
228,Karakol,48,KG,10/22/2019,46,42.49,78.39,34.36,7.45
